time,price
2026-03-04T17:47:03+00:00,91.53
2026-03-04T17:47:04+00:00,91.54
2026-03-04T17:47:05+00:00,91.53
2026-03-04T17:47:06+00:00,91.52
2026-03-04T17:47:07+00:00,91.52
2026-03-04T17:47:08+00:00,91.52
2026-03-04T17:47:09+00:00,91.51
2026-03-04T17:47:10+00:00,91.51
2026-03-04T17:47:11+00:00,91.5
2026-03-04T17:47:12+00:00,91.5
2026-03-04T17:47:13+00:00,91.51
2026-03-04T17:47:14+00:00,91.5
2026-03-04T17:47:15+00:00,91.5
2026-03-04T17:47:16+00:00,91.49
2026-03-04T17:47:17+00:00,91.49
2026-03-04T17:47:18+00:00,91.49
2026-03-04T17:47:19+00:00,91.49
2026-03-04T17:47:20+00:00,91.49
2026-03-04T17:47:21+00:00,91.49
2026-03-04T17:47:22+00:00,91.49
2026-03-04T17:47:23+00:00,91.49
2026-03-04T17:47:24+00:00,91.49
2026-03-04T17:47:25+00:00,91.48
2026-03-04T17:47:26+00:00,91.5
2026-03-04T17:47:27+00:00,91.5
2026-03-04T17:47:28+00:00,91.49
2026-03-04T17:47:29+00:00,91.49
2026-03-04T17:47:30+00:00,91.49
2026-03-04T17:47:31+00:00,91.49
2026-03-04T17:47:32+00:00,91.49
2026-03-04T17:47:33+00:00,91.5
2026-03-04T17:47:34+00:00,91.49
2026-03-04T17:47:35+00:00,91.49
2026-03-04T17:47:36+00:00,91.49
2026-03-04T17:47:37+00:00,91.49
2026-03-04T17:47:38+00:00,91.49
2026-03-04T17:47:39+00:00,91.49
2026-03-04T17:47:40+00:00,91.49
2026-03-04T17:47:41+00:00,91.48
2026-03-04T17:47:43+00:00,91.49
2026-03-04T17:47:45+00:00,91.49
2026-03-04T17:47:46+00:00,91.49
2026-03-04T17:47:47+00:00,91.49
2026-03-04T17:47:48+00:00,91.49
2026-03-04T17:47:49+00:00,91.49
2026-03-04T17:47:50+00:00,91.49
2026-03-04T17:47:51+00:00,91.49
2026-03-04T17:47:53+00:00,91.49
2026-03-04T17:47:54+00:00,91.49
2026-03-04T17:47:56+00:00,91.51
2026-03-04T17:47:57+00:00,91.53
2026-03-04T17:47:58+00:00,91.53
2026-03-04T17:48:00+00:00,91.52
2026-03-04T17:48:01+00:00,91.55
2026-03-04T17:48:02+00:00,91.54
2026-03-04T17:48:03+00:00,91.54
2026-03-04T17:48:04+00:00,91.57
2026-03-04T17:48:05+00:00,91.56
2026-03-04T17:48:06+00:00,91.57
2026-03-04T17:48:07+00:00,91.56
2026-03-04T17:48:08+00:00,91.61
2026-03-04T17:48:09+00:00,91.63
2026-03-04T17:48:10+00:00,91.63
2026-03-04T17:48:11+00:00,91.63
2026-03-04T17:48:12+00:00,91.64
2026-03-04T17:48:13+00:00,91.63
2026-03-04T17:48:14+00:00,91.65
2026-03-04T17:48:15+00:00,91.63
2026-03-04T17:48:16+00:00,91.63
2026-03-04T17:48:17+00:00,91.63
2026-03-04T17:48:18+00:00,91.63
2026-03-04T17:48:19+00:00,91.62
2026-03-04T17:48:20+00:00,91.62
2026-03-04T17:48:21+00:00,91.63
2026-03-04T17:48:22+00:00,91.63
2026-03-04T17:48:23+00:00,91.64
2026-03-04T17:48:24+00:00,91.64
2026-03-04T17:48:25+00:00,91.64
2026-03-04T17:48:26+00:00,91.65
2026-03-04T17:48:27+00:00,91.66
2026-03-04T17:48:28+00:00,91.66
2026-03-04T17:48:29+00:00,91.67
2026-03-04T17:48:30+00:00,91.66
2026-03-04T17:48:31+00:00,91.65
2026-03-04T17:48:32+00:00,91.64
2026-03-04T17:48:33+00:00,91.63
2026-03-04T17:48:34+00:00,91.64
2026-03-04T17:48:35+00:00,91.64
2026-03-04T17:48:36+00:00,91.64
2026-03-04T17:48:37+00:00,91.65
2026-03-04T17:48:38+00:00,91.65
2026-03-04T17:48:39+00:00,91.65
2026-03-04T17:48:40+00:00,91.64
2026-03-04T17:48:42+00:00,91.65
2026-03-04T17:48:43+00:00,91.65
2026-03-04T17:48:44+00:00,91.66
2026-03-04T17:48:45+00:00,91.66
2026-03-04T17:48:46+00:00,91.69
2026-03-04T17:48:47+00:00,91.7
2026-03-04T17:48:48+00:00,91.71
2026-03-04T17:48:49+00:00,91.72
2026-03-04T17:48:50+00:00,91.71
2026-03-04T17:48:51+00:00,91.72
2026-03-04T17:48:52+00:00,91.68
2026-03-04T17:48:53+00:00,91.68
2026-03-04T17:48:54+00:00,91.7
2026-03-04T17:48:55+00:00,91.7
2026-03-04T17:48:56+00:00,91.7
2026-03-04T17:48:57+00:00,91.7
2026-03-04T17:48:58+00:00,91.71
2026-03-04T17:48:59+00:00,91.72
2026-03-04T17:49:00+00:00,91.71
2026-03-04T17:49:01+00:00,91.72
2026-03-04T17:49:02+00:00,91.72
2026-03-04T17:49:03+00:00,91.71
2026-03-04T17:49:04+00:00,91.7
2026-03-04T17:49:05+00:00,91.72
2026-03-04T17:49:06+00:00,91.71
2026-03-04T17:49:07+00:00,91.71
2026-03-04T17:49:08+00:00,91.71
2026-03-04T17:49:09+00:00,91.7
2026-03-04T17:49:10+00:00,91.7
2026-03-04T17:49:11+00:00,91.7
2026-03-04T17:49:12+00:00,91.69
2026-03-04T17:49:13+00:00,91.68
2026-03-04T17:49:14+00:00,91.69
2026-03-04T17:49:15+00:00,91.7
2026-03-04T17:49:16+00:00,91.71
2026-03-04T17:49:17+00:00,91.71
2026-03-04T17:49:18+00:00,91.71
2026-03-04T17:49:19+00:00,91.71
2026-03-04T17:49:20+00:00,91.7
2026-03-04T17:49:21+00:00,91.7
2026-03-04T17:49:22+00:00,91.69
2026-03-04T17:49:23+00:00,91.66
2026-03-04T17:49:24+00:00,91.65
2026-03-04T17:49:25+00:00,91.65
2026-03-04T17:49:26+00:00,91.64
2026-03-04T17:49:27+00:00,91.65
2026-03-04T17:49:28+00:00,91.69
2026-03-04T17:49:29+00:00,91.65
2026-03-04T17:49:30+00:00,91.66
2026-03-04T17:49:31+00:00,91.66
2026-03-04T17:49:32+00:00,91.66
2026-03-04T17:49:33+00:00,91.66
2026-03-04T17:49:34+00:00,91.66
2026-03-04T17:49:35+00:00,91.66
2026-03-04T17:49:36+00:00,91.66
2026-03-04T17:49:37+00:00,91.66
2026-03-04T17:49:38+00:00,91.66
2026-03-04T17:49:39+00:00,91.66
2026-03-04T17:49:40+00:00,91.66
2026-03-04T17:49:41+00:00,91.66
2026-03-04T17:49:42+00:00,91.67
2026-03-04T17:49:43+00:00,91.68
2026-03-04T17:49:44+00:00,91.66
2026-03-04T17:49:45+00:00,91.69
2026-03-04T17:49:46+00:00,91.69
2026-03-04T17:49:47+00:00,91.69
2026-03-04T17:49:48+00:00,91.7
2026-03-04T17:49:50+00:00,91.69
2026-03-04T17:49:51+00:00,91.68
2026-03-04T17:49:52+00:00,91.67
2026-03-04T17:49:53+00:00,91.67
2026-03-04T17:49:54+00:00,91.68
2026-03-04T17:49:55+00:00,91.69
2026-03-04T17:49:56+00:00,91.69
2026-03-04T17:49:58+00:00,91.7
2026-03-04T17:49:59+00:00,91.7
2026-03-04T17:50:00+00:00,91.69
2026-03-04T17:50:01+00:00,91.68
2026-03-04T17:50:02+00:00,91.68
2026-03-04T17:50:03+00:00,91.7
2026-03-04T17:50:04+00:00,91.71
2026-03-04T17:50:05+00:00,91.72
2026-03-04T17:50:06+00:00,91.72
2026-03-04T17:50:07+00:00,91.72
2026-03-04T17:50:08+00:00,91.72
2026-03-04T17:50:09+00:00,91.72
2026-03-04T17:50:10+00:00,91.72
2026-03-04T17:50:11+00:00,91.72
2026-03-04T17:50:12+00:00,91.72
2026-03-04T17:50:13+00:00,91.72
2026-03-04T17:50:14+00:00,91.72
2026-03-04T17:50:15+00:00,91.71
2026-03-04T17:50:16+00:00,91.72
2026-03-04T17:50:17+00:00,91.72
2026-03-04T17:50:18+00:00,91.72
